pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female,z_score,deviation_value
奈良県,2902,東和,HbA1c,糖尿病,31884,2449,0.0768096851085183,16014,1753,0.1094667166229549,15870,696,0.0438563327032136,-0.2630033883416666,47.369966116583335
奈良県,2903,西和,HbA1c,糖尿病,60752,4098,0.0674545693968922,30128,2825,0.0937665958576739,30624,1273,0.0415687042842215,-1.0475633376718343,39.52436662328166
奈良県,2904,中和,HbA1c,糖尿病,63476,4308,0.0678681706471737,32364,3036,0.0938079347423062,31112,1272,0.0408845461558241,-1.0128769707720136,39.87123029227986
奈良県,2905,南和,HbA1c,糖尿病,9754,808,0.0828378101291777,4926,565,0.1146975233455136,4828,243,0.0503314001657,0.2425409156039224,52.42540915603922
宮城県,401,仙南,HbA1c,糖尿病,31200,3048,0.0976923076923076,16416,1936,0.117933723196881,14784,1112,0.0752164502164502,1.4883025090143565,64.88302509014356
宮城県,403,仙台,HbA1c,糖尿病,291486,24951,0.0855993083715856,153300,17470,0.1139595564253098,138186,7481,0.0541371774275252,0.4741319496353232,54.741319496353235
宮城県,406,大崎・栗原,HbA1c,糖尿病,42380,4352,0.102689948088721,22867,2924,0.1278698561245463,19513,1428,0.0731819812432737,1.9074259722664175,69.07425972266418
宮城県,409,石巻・登米・気仙沼,HbA1c,糖尿病,51233,5558,0.1084847656783713,25929,3498,0.1349068610436191,25304,2060,0.0814100537464432,2.3934041188395887,73.9340411883959
宮崎県,4501,宮崎東諸県,HbA1c,糖尿病,60106,4249,0.0706917778591155,31264,2960,0.0946775844421699,28842,1289,0.0446917689480618,-0.7760772133541227,42.239227866458776
宮崎県,4502,都城北諸県,HbA1c,糖尿病,22705,2518,0.1109006826690156,10684,1417,0.1326282291276675,12021,1101,0.0915897179935113,2.5960132334879757,75.96013233487976
宮崎県,4503,延岡西臼杵,HbA1c,糖尿病,27642,2100,0.0759713479487736,15418,1487,0.096445712803217,12224,613,0.0501472513089005,-0.33330992220457833,46.66690077795422
宮崎県,4504,日南串間,HbA1c,糖尿病,7015,553,0.0788310762651461,3382,343,0.1014192785334121,3633,210,0.0578034682080924,-0.09348089473429451,49.065191052657056
宮崎県,4505,西諸,HbA1c,糖尿病,9188,830,0.0903352198519808,4439,513,0.1155665690470826,4749,317,0.0667508949252474,0.8713057084241582,58.71305708424158
宮崎県,4506,西都児湯,HbA1c,糖尿病,11505,967,0.0840504128639721,5854,639,0.109156132558934,5651,328,0.0580428242788886,0.3442349586808683,53.44234958680868
宮崎県,4507,日向入郷,HbA1c,糖尿病,11976,823,0.0687207748830995,6180,563,0.0911003236245954,5796,260,0.0448585231193926,-0.9413739389810405,40.5862606101896
富山県,1601,新川,HbA1c,糖尿病,26341,1923,0.0730040621085,13685,1372,0.1002557544757033,12656,551,0.0435366624525916,-0.5821591828930417,44.178408171069584
富山県,1602,富山,HbA1c,糖尿病,107461,7764,0.0722494672485832,58062,5678,0.0977920154317798,49399,2086,0.042227575456993,-0.6454427299180551,43.54557270081945
富山県,1603,高岡,HbA1c,糖尿病,68589,6258,0.0912391199755062,35699,4191,0.1173982464494803,32890,2067,0.0628458498023715,0.9471106323794337,59.47110632379434
富山県,1604,砺波,HbA1c,糖尿病,28743,2570,0.0894130744877013,14554,1710,0.1174934725848564,14189,860,0.0606103319472831,0.7939706606732186,57.93970660673219
山口県,3501,岩国,HbA1c,糖尿病,18568,1368,0.0736751400258509,10095,947,0.0938088162456661,8473,421,0.0496872418269798,-0.5258797232836737,44.741202767163266
山口県,3502,柳井,HbA1c,糖尿病,7935,603,0.075992438563327,3943,423,0.1072787217854425,3992,180,0.0450901803607214,-0.33154117321253734,46.684588267874624
山口県,3503,周南,HbA1c,糖尿病,33426,2425,0.0725483156824029,17567,1639,0.0932999373825923,15859,786,0.0495617630367614,-0.6203800241939978,43.79619975806002
山口県,3504,山口・防府,HbA1c,糖尿病,37049,2700,0.0728764609031282,21282,1950,0.0916267268113899,15767,750,0.0475677046996892,-0.5928603648246078,44.07139635175392
山口県,3505,宇部・小野田,HbA1c,糖尿病,37057,2862,0.0772323717516258,19448,1932,0.0993418346359522,17609,930,0.052813901981941,-0.22755508160540291,47.72444918394597
山口県,3506,下関,HbA1c,糖尿病,32143,2451,0.0762529944311358,16524,1703,0.1030622125393367,15619,748,0.0478903899097253,-0.3096898455809936,46.903101544190065
山口県,3507,長門,HbA1c,糖尿病,3958,274,0.0692268822637695,1801,167,0.0927262631871182,2157,107,0.0496059341678256,-0.8989296129915053,41.010703870084946
