pref_code,pref,pref_en,area,topo_id,region_code,region_name,domain,indicator,n_total,n_risk,risk_rate,risk_rate_pct,n_male,n_risk_male,risk_rate_male,risk_rate_male_pct,n_female,n_risk_female,risk_rate_female,risk_rate_female_pct
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,心血管,心電図,363,142,0.3911845730027548,39.12,229,97,0.4235807860262008,42.36,134,45,0.3358208955223881,33.58
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,糖尿病,HbA1c,8627,769,0.0891387504346818,8.91,4503,516,0.1145902731512325,11.46,4124,253,0.0613482056256062,6.13
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,糖尿病,空腹時血糖,8056,520,0.0645481628599801,6.45,4216,374,0.0887096774193548,8.87,3840,146,0.0380208333333333,3.8
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,CKD,eGFR,781,91,0.11651728553137,11.65,513,64,0.124756335282651,12.48,268,27,0.1007462686567164,10.07
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,CKD,尿蛋白,7735,353,0.0456367162249515,4.56,4366,250,0.0572606504809894,5.73,3369,103,0.0305728702879192,3.06
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,心血管,LDL,7734,2171,0.2807085596069304,28.07,4350,1202,0.2763218390804597,27.63,3384,969,0.2863475177304964,28.63
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,心血管,中性脂肪,7745,1421,0.1834732085216268,18.35,4356,989,0.2270431588613407,22.7,3389,432,0.1274712304514606,12.75
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,心血管,収縮期血圧,7767,2153,0.2771984035019956,27.72,4372,1308,0.2991765782250686,29.92,3395,845,0.2488954344624447,24.89
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,心血管,心電図,171,19,0.1111111111111111,11.11,129,19,0.1472868217054263,14.73,42,0,0.0,0.0
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,糖尿病,HbA1c,5869,604,0.102913613903561,10.29,3120,392,0.1256410256410256,12.56,2749,212,0.0771189523463077,7.71
01,北海道,Hokkaido,北海道,JP.HK,115,留萌,糖尿病,空腹時血糖,6196,582,0.0939315687540348,9.39,3438,414,0.1204188481675392,12.04,2758,168,0.0609137055837563,6.09
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,CKD,eGFR,1440,147,0.1020833333333333,10.21,784,85,0.1084183673469387,10.84,656,62,0.0945121951219512,9.45
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,CKD,尿蛋白,11501,424,0.0368663594470046,3.69,6746,331,0.0490661132522976,4.91,4755,93,0.0195583596214511,1.96
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,心血管,LDL,11549,3224,0.2791583686899299,27.92,6717,1852,0.2757183266339139,27.57,4832,1372,0.2839403973509933,28.39
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,心血管,中性脂肪,11558,2025,0.1752033223741131,17.52,6722,1542,0.2293960130913418,22.94,4836,483,0.0998759305210918,9.99
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,心血管,収縮期血圧,11608,3295,0.2838559614059269,28.39,6757,2102,0.3110848009471659,31.11,4851,1193,0.245928674500103,24.59
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,心血管,心電図,270,25,0.0925925925925925,9.26,143,14,0.0979020979020979,9.79,127,11,0.0866141732283464,8.66
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,糖尿病,HbA1c,8343,709,0.0849814215510008,8.5,4581,515,0.1124208688059375,11.24,3762,194,0.0515683147262094,5.16
01,北海道,Hokkaido,北海道,JP.HK,116,宗谷,糖尿病,空腹時血糖,9754,703,0.0720729956940742,7.21,5603,552,0.098518650722827,9.85,4151,151,0.0363767766803179,3.64
01,北海道,Hokkaido,北海道,JP.HK,117,北網,CKD,eGFR,5173,664,0.1283587860042528,12.84,3008,412,0.1369680851063829,13.7,2165,252,0.1163972286374133,11.64
01,北海道,Hokkaido,北海道,JP.HK,117,北網,CKD,尿蛋白,38990,1216,0.0311874839702487,3.12,21494,851,0.0395924444030892,3.96,17496,365,0.02086191129401,2.09
01,北海道,Hokkaido,北海道,JP.HK,117,北網,心血管,LDL,38385,10507,0.2737267161651687,27.37,21052,5879,0.2792608778263348,27.93,17333,4628,0.2670051347141291,26.7
01,北海道,Hokkaido,北海道,JP.HK,117,北網,心血管,中性脂肪,39120,7135,0.1823875255623722,18.24,21410,5026,0.2347501167678654,23.48,17710,2109,0.1190852625635234,11.91
01,北海道,Hokkaido,北海道,JP.HK,117,北網,心血管,収縮期血圧,39255,9475,0.2413705260476372,24.14,21518,5690,0.2644297797193047,26.44,17737,3785,0.213395726447539,21.34
01,北海道,Hokkaido,北海道,JP.HK,117,北網,心血管,心電図,1026,172,0.1676413255360623,16.76,704,125,0.1775568181818181,17.76,322,47,0.1459627329192546,14.6
