pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
埼玉県,1102,南西部,HbA1c,糖尿病,139910,9516,0.06801515259809877,76151,6824,0.08961142992212841,63759,2692,0.042221490299408714
埼玉県,1103,東部,HbA1c,糖尿病,217850,16341,0.07501032820748221,114791,11378,0.09911926893223336,103059,4963,0.04815688100990695
埼玉県,1104,さいたま,HbA1c,糖尿病,261333,19023,0.07279218468390904,144978,13697,0.09447640331636524,116355,5326,0.045773709767521806
埼玉県,1105,県央,HbA1c,糖尿病,109174,8182,0.07494458387528166,58202,5649,0.097058520325762,50972,2533,0.04969394961939889
埼玉県,1106,川越比企,HbA1c,糖尿病,152997,11350,0.07418446113322484,82166,7796,0.09488109436993404,70831,3554,0.05017577049596928
埼玉県,1107,西部,HbA1c,糖尿病,154581,11449,0.07406472981802421,82584,8215,0.09947447447447448,71997,3234,0.04491853827242802
埼玉県,1108,利根,HbA1c,糖尿病,125324,10850,0.08657559605502538,67388,7403,0.10985635424704696,57936,3447,0.059496685998343
埼玉県,1109,北部,HbA1c,糖尿病,94065,8025,0.08531334715356402,50838,5583,0.10981942641331288,43227,2442,0.05649246998403776
埼玉県,1110,秩父,HbA1c,糖尿病,17623,1464,0.08307325653974919,9371,987,0.1053249386404866,8252,477,0.05780416868637906
大分県,4401,東部,HbA1c,糖尿病,28050,2245,0.08003565062388592,13185,1374,0.10420932878270762,14865,871,0.05859401278170198
大分県,4403,中部,HbA1c,糖尿病,93179,6980,0.07490958263127959,48326,4786,0.09903571576377106,44853,2194,0.04891534568479254
大分県,4405,南部,HbA1c,糖尿病,10075,912,0.09052109181141439,4646,594,0.12785191562634524,5429,318,0.05857432307975686
大分県,4406,豊肥,HbA1c,糖尿病,8062,784,0.09724634085834781,3885,502,0.12921492921492922,4177,282,0.06751256882930333
大分県,4408,西部,HbA1c,糖尿病,10561,875,0.08285200265126408,5047,566,0.11214582920546859,5514,309,0.05603917301414581
大分県,4409,北部,HbA1c,糖尿病,23868,2184,0.0915032679738562,12784,1438,0.11248435544430538,11084,746,0.0673042223024179
大阪府,2701,豊能,HbA1c,糖尿病,193403,11716,0.06057817096942653,102313,8414,0.08223783878881472,91090,3302,0.036249862773081565
大阪府,2702,三島,HbA1c,糖尿病,134440,8498,0.06321035406129129,70153,6083,0.08671047567459696,64287,2415,0.0375659153483597
大阪府,2703,北河内,HbA1c,糖尿病,185930,13057,0.07022535362770935,96481,9240,0.09577015163607343,89449,3817,0.04267236078659348
大阪府,2704,中河内,HbA1c,糖尿病,127134,9208,0.07242751742256202,65685,6461,0.0983634010809165,61449,2747,0.044703738059203565
大阪府,2705,南河内,HbA1c,糖尿病,97328,7486,0.07691517343416078,49369,5139,0.10409366201462456,47959,2347,0.04893763422923748
大阪府,2706,堺市,HbA1c,糖尿病,131068,9239,0.07049012726218451,68869,6631,0.09628424980760575,62199,2608,0.041929934564864386
